order_id,item_id,order_type,site
94,770,real,F20
95,840,real,F20
96,260,real,F12
96,560,real,F12
97,820,real,F20
97,460,real,F20
97,470,real,F20
97,760,real,F20
98,700,real,F20
98,390,real,F16
99,490,real,F20
100,500,real,F20
100,930,real,F20
100,210,real,F20
101,680,real,F13
101,270,real,F13
101,530,real,F13
101,250,real,F13
102,980,real,F18
103,360,real,F17
103,710,real,F20
103,1000,real,F17
103,380,real,F17
103,280,real,F20
104,810,real,F20
104,440,real,F20
104,510,real,F20
104,770,real,F20
104,1030,real,F20
105,940,real,F20
105,1000,real,F20
105,920,real,F20
105,380,real,F20
106,580,real,F20
106,240,real,F20
106,680,real,F20
107,670,real,F19
107,360,real,F19
107,680,real,F19
107,1010,real,F20
107,130,real,F19
108,420,real,F20
108,1080,real,F20
108,610,real,F20
109,780,real,F14
109,410,real,F14
110,730,real,F20
110,350,real,F16
110,260,real,F16
110,140,real,F16
111,570,real,F10
111,230,real,F10
112,850,real,F20
112,140,real,F20
112,730,real,F20
113,690,real,F13
114,530,real,F20
114,1020,real,F20
114,430,real,F20
114,610,real,F20
115,550,real,F20
115,820,real,F16
115,460,real,F16
115,870,real,F16
116,1070,real,F20
116,810,real,F18
117,650,real,F20
117,1020,real,F20
117,340,real,F20
117,920,real,F20
117,890,real,F20
118,790,real,F20
119,780,real,F20
119,660,real,F20
120,380,real,F7
120,120,real,F7
121,670,real,F17
121,230,real,F19
121,1000,real,F20
121,770,real,F17
121,180,real,F17
122,1040,real,F20
122,1030,real,F20
123,1090,real,F20
124,870,real,F20
124,680,real,F20
124,470,real,F20
124,620,real,F20
124,580,real,F20
125,220,real,F10
125,530,real,F10
126,650,real,F20
126,850,real,F20
126,860,real,F20
126,380,real,F20
126,190,real,F20
127,570,real,F20
127,310,real,F20
127,100,real,F20
127,970,real,F20
128,650,real,F12
128,490,real,F12
128,470,real,F12
128,170,real,F12
129,640,real,F20
130,500,real,F20
130,180,real,F20
130,320,real,F20
130,850,real,F20
131,160,real,F20
131,430,real,F20
131,1080,real,F20
132,460,real,F20
132,750,real,F20
132,650,real,F20
132,880,real,F20
133,580,real,F11
133,230,real,F20
133,280,real,F11
134,1020,real,F20
134,790,real,F20
134,390,real,F18
134,540,real,F20
135,770,real,F20
135,980,real,F20
135,530,real,F20
136,670,real,F20
136,900,real,F20
137,870,real,F19
137,530,real,F16
137,280,real,F19
138,120,real,F17
138,670,real,F17
138,840,real,F17
138,210,real,F16
138,130,real,F17
139,410,real,F20
139,1040,real,F20
139,730,real,F20
139,1000,real,F20
140,950,real,F19
140,790,real,F19
141,1040,real,F20
141,250,real,F19
141,860,real,F20
141,930,real,F19
142,1090,real,F20
142,270,real,F20
143,580,real,F16
143,480,real,F16
144,340,real,F7
145,840,real,F20
145,790,real,F20
146,380,real,F12
147,520,real,F20
147,280,real,F17
147,900,real,F17
148,650,real,F19
149,150,real,F7
150,750,real,F20
151,1090,real,F20
151,440,real,F20
151,910,real,F20
151,210,real,F20
151,310,real,F20
152,210,real,F15
152,150,real,F15
152,770,real,F15
153,300,real,F20
153,1010,real,F20
153,670,real,F20
153,640,real,F20
153,270,real,F20
154,640,real,F16
154,350,real,F16
154,610,real,F16
155,1060,real,F20
155,430,real,F20
155,460,real,F20
156,290,real,F12
156,230,real,F12
156,510,real,F12
156,670,real,F12
157,1060,real,F20
158,180,real,F20
158,1090,real,F20
159,490,real,F17
159,970,real,F20
159,690,real,F17
160,280,real,F20
160,660,real,F20
160,130,real,F20
161,1060,real,F20
161,950,real,F20
161,690,real,F20
161,590,real,F20
162,1050,real,F19
162,380,real,F19
162,280,real,F20
163,520,real,F15
164,570,real,F20
164,940,real,F20
164,230,real,F20
165,990,real,F17
165,740,real,F17
166,790,real,F15
166,820,real,F15
167,980,real,F20
167,710,real,F20
168,850,real,F17
168,710,real,F17
168,130,real,F17
168,560,real,F17
169,760,real,F20
169,290,real,F20
169,940,real,F20
169,1060,real,F20
170,150,real,F5
171,350,real,F19
171,830,real,F19
172,1000,real,F20
172,740,real,F20
172,680,real,F20
173,770,real,F14
173,380,real,F14
173,720,real,F14
173,740,real,F14
173,370,real,F14
174,590,real,F17
174,500,real,F20
175,220,real,F20
175,690,real,F20
175,460,real,F20
175,390,real,F20
175,930,real,F20
176,580,real,F10
176,300,real,F10
176,160,real,F10
177,1060,real,F20
177,210,real,F20
178,1030,real,F20
178,150,real,F19
178,660,real,F19
178,860,real,F20
179,610,real,F20
179,880,real,F20
180,640,real,F20
180,590,real,F20
180,850,real,F20
181,320,real,F9
182,610,real,F20
182,690,real,F20
182,450,real,F20
182,820,real,F20
182,150,real,F20
183,500,real,F20
183,430,real,F20
183,950,real,F20
184,330,real,F20
184,1070,real,F20
184,720,real,F20
184,550,real,F20
184,630,real,F20
185,160,real,F3
186,860,real,F20
187,1030,real,F20
187,400,real,F20
188,380,real,F20
188,920,real,F20
189,120,real,F12
189,370,real,F12
189,460,real,F12
189,640,real,F12
189,600,real,F12
190,270,real,F20
190,180,real,F20
190,870,real,F20
190,1070,real,F20
190,950,real,F20
191,610,real,F20
192,660,real,F12
192,290,real,F12
192,400,real,F12
192,110,real,F12
193,910,real,F16
193,560,real,F16
194,1080,real,F20
194,100,real,F20
194,590,real,F20
194,810,real,F20
195,410,real,F20
195,260,real,F20
195,870,real,F20
195,250,real,F20
196,920,real,F17
196,220,real,F20
197,670,real,F15
198,620,real,F11
199,280,real,F10
199,570,real,F10
200,550,real,F11
201,300,real,F6
202,270,real,F6
203,580,real,F13
203,680,real,F13
203,230,real,F13
