item_id,site,lead_5,lead_4
320,F13,3,2
320,F14,0,2
320,F15,7,1
320,F16,3,3
320,F17,1,1
320,F18,4,5
320,F19,4,3
320,F2,1,0
320,F20,63,39
320,F6,5,2
320,F7,2,2
320,F8,3,1
320,F9,2,2
330,F1,1,0
330,F10,1,0
330,F11,1,1
330,F12,2,1
330,F13,2,0
330,F14,2,2
330,F15,0,5
330,F16,2,1
330,F17,2,3
330,F18,3,4
330,F19,2,4
330,F20,54,39
330,F6,4,4
330,F7,1,2
330,F8,1,4
330,F9,2,3
340,F1,1,0
340,F10,1,3
340,F11,2,2
340,F12,4,1
340,F13,1,2
340,F14,4,1
340,F15,0,5
340,F16,3,1
340,F17,3,3
340,F18,1,3
340,F19,2,3
340,F2,0,2
340,F20,48,34
340,F6,1,0
340,F7,2,3
340,F8,4,3
340,F9,2,3
350,F1,1,0
350,F10,0,1
350,F11,1,1
350,F12,1,0
350,F13,2,4
350,F14,1,1
350,F15,6,2
350,F16,1,1
350,F17,3,3
350,F18,2,4
350,F19,2,3
350,F20,75,42
350,F6,5,3
350,F7,3,2
350,F8,0,1
350,F9,4,2
360,F10,3,0
360,F11,1,4
360,F12,1,4
360,F13,5,2
360,F14,4,3
360,F15,6,2
360,F16,2,5
360,F17,0,4
360,F18,4,0
360,F19,5,3
360,F20,63,42
360,F6,2,2
360,F7,3,1
360,F8,2,5
360,F9,1,4
370,F1,1,0
370,F10,1,3
370,F11,2,3
370,F12,4,2
370,F13,4,4
370,F14,2,4
370,F15,3,4
370,F16,2,1
370,F17,4,5
370,F18,3,5
370,F19,5,2
370,F20,57,46
370,F6,2,3
370,F7,2,3
370,F8,3,3
370,F9,5,4
380,F10,1,3
380,F11,1,0
380,F12,0,5
380,F13,3,1
380,F14,1,1
380,F15,3,2
380,F16,4,3
380,F17,1,1
380,F18,3,1
380,F19,0,2
380,F20,60,33
380,F6,2,2
380,F7,3,2
380,F8,2,3
380,F9,0,3
390,F1,0,1
390,F10,5,1
390,F11,2,3
390,F12,5,1
390,F13,0,1
390,F14,1,2
390,F15,1,2
390,F16,3,2
390,F17,1,1
390,F18,3,4
390,F19,2,2
390,F2,1,0
390,F20,62,46
390,F7,1,7
390,F8,2,3
390,F9,3,2
400,F10,3,3
400,F11,2,3
400,F12,4,0
400,F13,4,1
400,F14,3,3
400,F15,5,2
400,F16,1,4
400,F17,3,3
400,F18,4,3
400,F19,1,3
400,F2,0,1
400,F20,44,32
400,F7,1,3
400,F8,4,4
400,F9,1,2
410,F1,1,1
410,F10,0,1
410,F11,4,2
410,F12,3,2
410,F13,1,4
410,F14,5,4
410,F15,4,3
410,F16,1,1
410,F17,3,0
410,F18,1,3
410,F19,1,2
410,F2,0,1
410,F20,62,44
410,F7,2,4
410,F8,2,4
410,F9,5,2
420,F1,0,1
420,F10,2,5
420,F11,2,2
420,F12,1,2
420,F13,4,1
420,F14,2,1
420,F15,2,3
420,F16,1,2
420,F17,3,1
420,F19,3,3
420,F2,1,0
420,F20,72,45
420,F7,7,3
420,F8,1,2
420,F9,1,5
430,F10,0,1
430,F11,7,2
430,F12,2,1
430,F13,1,0
430,F14,3,2
430,F15,4,1
430,F16,4,2
430,F17,3,3
430,F18,3,4
430,F19,3,4
430,F2,0,1
430,F20,59,37
430,F7,4,4
430,F8,1,3
430,F9,2,4
440,F1,0,1
440,F10,2,4
440,F11,0,3
440,F12,2,3
440,F13,0,1
440,F14,1,5
440,F15,1,3
440,F16,3,3
440,F17,2,0
440,F18,1,1
440,F19,0,4
440,F2,1,1
440,F20,61,43
440,F8,2,4
440,F9,1,5
450,F1,1,0
450,F10,3,4
450,F11,3,2
450,F12,1,2
450,F13,1,4
450,F14,2,2
450,F15,2,3
450,F16,2,2
450,F17,3,5
450,F18,5,1
450,F19,3,4
450,F2,2,0
450,F20,51,37
450,F8,2,3
450,F9,2,0
460,F1,0,1
460,F10,3,3
460,F11,1,2
460,F12,2,4
460,F14,1,1
460,F15,1,1
460,F16,1,2
460,F17,3,3
460,F18,1,1
460,F19,3,5
460,F2,0,1
460,F20,57,36
460,F8,3,3
460,F9,2,7
470,F10,1,5
470,F11,2,2
470,F12,2,5
470,F13,4,1
470,F14,3,0
470,F15,0,4
470,F16,1,1
470,F17,3,1
470,F18,3,2
